score
990
969
988
979
989
996
995
996
978
982
970
984
986
988
985
988
993
987
982
992
980
972
977
993
964
985
976
952
990
989
987
982
991
988
980
976
994
977
984
988
987
978
972
988
991
982
983
973
981
