楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
幻想系世界修復少女,EXHAUST,15,EXCESSIVE COMPLETE,S,9940374,12,6,0,0
幻想系世界修復少女,HEAVENLY,17,EXCESSIVE COMPLETE,S,9919121,3,3,0,0
ドキドキ☆流星トラップガール!!,EXHAUST,13,COMPLETE,AAA,9700654,1,1,0,0
バンブーソード・ガール,NOVICE,6,COMPLETE,A+,9191666,1,1,0,0
バンブーソード・ガール,ADVANCED,12,COMPLETE,AA+,9696828,2,1,0,0
バンブーソード・ガール,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9873197,19,11,0,0
バンブーソード・ガール,HEAVENLY,19,COMPLETE,AA,9437299,3,1,0,0
Baby Sherry,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9843272,4,3,0,0
Get out of my sight,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9845814,2,2,0,0
SPARKING 2012,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9856091,2,2,0,0
ゼンマイ恋時計（T.E.B Summer Mix),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9879711,3,3,0,0
#FairyJoke #SDVX_Edit,EXHAUST,17,EXCESSIVE COMPLETE,S,9901911,15,10,0,0
マスパでシュッ☆メイドウィッチまりさちゃん,EXHAUST,13,COMPLETE,A+,9157676,2,1,0,0
Lemures Prelude,EXHAUST,14,COMPLETE,A+,9011180,1,1,0,0
Sakura Mirage,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9781645,9,8,0,0
カレクレンマ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9834605,2,2,0,0
患部で止まってすぐ溶ける ～ 狂気の優曇華院,EXHAUST,15,EXCESSIVE COMPLETE,S,9901898,5,3,0,0
患部で止まってすぐ溶ける ～ 狂気の優曇華院,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9835981,8,8,0,0
SPARKLING FANTASY,EXHAUST,13,ULTIMATE CHAIN,S,9975728,2,2,1,0
Mami Mami Zone,EXHAUST,16,ULTIMATE CHAIN,S,9965846,4,4,1,0
mon$tage,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9835349,4,4,0,0
八雲藍の唯心論,EXHAUST,14,COMPLETE,AAA,9786931,2,1,0,0
信仰は儚き人間の為に ～ Arr.Demetori,EXHAUST,17,EXCESSIVE COMPLETE,S,9903417,9,6,0,0
竹取飛翔,EXHAUST,15,ULTIMATE CHAIN,S,9976415,5,4,1,0
竹取飛翔,HEAVENLY,17,EXCESSIVE COMPLETE,S,9901352,5,5,0,0
NEXT BILLIONAIRE,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9806710,3,2,0,0
Phantasm Brigade,EXHAUST,13,PLAYED,S,9917871,1,0,0,0
Unlimited Field,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9884135,2,1,0,0
終点,EXHAUST,16,EXCESSIVE COMPLETE,S,9944267,15,13,0,0
少女暴動,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9858035,11,7,0,0
冬に桜が咲くようなキセキ。,EXHAUST,15,EXCESSIVE COMPLETE,S,9918088,2,2,0,0
Rebirth,EXHAUST,13,COMPLETE,AA+,9545094,2,2,0,0
REPLiCA,EXHAUST,13,PLAYED,S,9916467,1,0,0,0
KiLLeR MeRMaiD,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9804864,13,6,0,0
Frantic Wolf,EXHAUST,14,EXCESSIVE COMPLETE,S,9904109,2,2,0,0
Mist In Hell,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9896344,8,6,0,0
REVERSE LIMITED!(SDVX Edit),EXHAUST,16,EXCESSIVE COMPLETE,S,9920318,4,3,0,0
Innocent Tempest,ADVANCED,12,COMPLETE,AA,9331858,1,1,0,0
Innocent Tempest,EXHAUST,17,EXCESSIVE COMPLETE,S,9936010,19,9,0,0
Innocent Tempest,VIVID,19,COMPLETE,AA+,9514785,2,1,0,0
侵蝕コード：666　-今日ちょっと指（略-,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9826014,3,2,0,0
ボルテ体操第一,ADVANCED,12,COMPLETE,AA,9496990,1,1,0,0
ボルテ体操第一,EXHAUST,17,ULTIMATE CHAIN,S,9927685,12,5,1,0
流れ星と君の歌,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9868247,1,1,0,0
Liar World Monologue,EXHAUST,16,EXCESSIVE COMPLETE,S,9921875,7,4,0,0
odds and ends,EXHAUST,15,EXCESSIVE COMPLETE,S,9924874,8,4,0,0
odds and ends,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9873456,3,3,0,0
はなむけ,EXHAUST,13,PLAYED,S,9958432,2,0,0,0
はなむけ,HEAVENLY,16,EXCESSIVE COMPLETE,S,9920171,1,1,0,0
Harpuia,NOVICE,6,COMPLETE,AAA,9761215,1,1,0,0
Harpuia,ADVANCED,11,COMPLETE,AA+,9649309,3,3,0,0
Harpuia,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9885764,28,12,0,0
Harpuia,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9657064,12,10,0,0
Virtual Sunrise,EXHAUST,15,EXCESSIVE COMPLETE,S,9929667,5,4,0,0
Pure Evil,ADVANCED,12,COMPLETE,AA+,9663284,1,1,0,0
Pure Evil,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9853491,14,7,0,0
Black Emperor,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9591002,27,9,0,0
Black Emperor,GRAVITY,19,COMPLETE,AA+,9584019,23,5,0,0
Hoshizora Illumination,ADVANCED,10,COMPLETE,AA+,9591489,1,1,0,0
Hoshizora Illumination,EXHAUST,16,EXCESSIVE COMPLETE,S,9929906,14,5,0,0
Hoshizora Illumination,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9854910,12,8,0,0
Arcadia,EXHAUST,12,ULTIMATE CHAIN,S,9993630,2,2,2,0
群青硝子のスピカ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9856271,3,3,0,0
超爽快☆パッショネイト・フィーバー,EXHAUST,16,EXCESSIVE COMPLETE,S,9938271,10,7,0,0
FLYING OUT TO THE SKY,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9843501,9,7,0,0
嘘と接吻,EXHAUST,13,PLAYED,AAA+,9886363,1,0,0,0
神となり彼が見た境界線,EXHAUST,15,EXCESSIVE COMPLETE,S,9942249,2,2,0,0
crazy cinema story,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9816282,16,15,0,0
Fiat Lux,ADVANCED,11,COMPLETE,AA,9361788,1,1,0,0
Fiat Lux,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9849955,20,12,0,0
きょうもハレバレ,EXHAUST,12,ULTIMATE CHAIN,S,9953825,1,1,1,0
君と僕とその空白と,EXHAUST,13,COMPLETE,A+,9031180,1,1,0,0
茅蜩モラトリアム,EXHAUST,16,EXCESSIVE COMPLETE,S,9917597,2,2,0,0
命のユースティティア,EXHAUST,13,ULTIMATE CHAIN,S,9939498,2,2,1,0
WAVE,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9867610,2,2,0,0
絢爛創世絵巻物,EXHAUST,13,PLAYED,AAA+,9871086,1,0,0,0
コンベア速度Max!? しゃいにん☆廻転ズシ"Sushi&Peace",ADVANCED,11,COMPLETE,AA+,9555903,4,4,0,0
コンベア速度Max!? しゃいにん☆廻転ズシ"Sushi&Peace",EXHAUST,16,EXCESSIVE COMPLETE,S,9913203,32,17,0,0
IX,NOVICE,6,COMPLETE,AAA+,9869186,1,1,0,0
IX,ADVANCED,12,COMPLETE,AA,9331465,2,1,0,0
IX,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9826589,16,8,0,0
Future MUSiC,EXHAUST,12,COMPLETE,AA,9359457,1,1,0,0
ウバワレ,NOVICE,4,COMPLETE,AA,9484265,1,1,0,0
ウバワレ,EXHAUST,16,EXCESSIVE COMPLETE,S,9942528,7,5,0,0
ウバワレ,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9843478,7,6,0,0
EOS -INFINITE EDIT-,ADVANCED,11,PLAYED,B,7997542,1,0,0,0
EOS -INFINITE EDIT-,EXHAUST,13,ULTIMATE CHAIN,S,9968858,2,2,1,0
EOS -INFINITE EDIT-,GRAVITY,16,EXCESSIVE COMPLETE,S,9906483,1,1,0,0
Engraved Mark,ADVANCED,11,COMPLETE,A+,9096895,1,1,0,0
Engraved Mark,EXHAUST,16,EXCESSIVE COMPLETE,S,9928977,18,11,0,0
Squeeze,EXHAUST,16,ULTIMATE CHAIN,S,9937989,7,7,1,0
デッドボヲルdeホームラン,EXHAUST,15,EXCESSIVE COMPLETE,S,9909638,4,4,0,0
轟け！恋のビーンボール！！,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9849435,8,8,0,0
Verse IV,ADVANCED,12,COMPLETE,AA+,9545028,1,1,0,0
Verse IV,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9665596,20,10,0,0
Verse IV,HEAVENLY,19,COMPLETE,AA,9452081,9,2,0,0
LittleGameStar,EXHAUST,15,EXCESSIVE COMPLETE,S,9918981,8,7,0,0
LittleGameStar,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9886569,5,4,0,0
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9808988,7,7,0,0
Profession,EXHAUST,16,EXCESSIVE COMPLETE,S,9913159,3,3,0,0
雪女,EXHAUST,16,EXCESSIVE COMPLETE,S,9920025,13,9,0,0
雪女,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9855518,8,5,0,0
おお われら喜び讃うべし、主よ,EXHAUST,16,EXCESSIVE COMPLETE,S,9912948,4,3,0,0
上海紅茶館 ～ Chinese Tea Orchid Remix,EXHAUST,16,ULTIMATE CHAIN,S,9971662,13,11,1,0
U.N.オーエンは彼女なのか？haru_naba Remix,NOVICE,5,COMPLETE,AA,9341032,1,1,0,0
U.N.オーエンは彼女なのか？haru_naba Remix,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9715099,10,4,0,0
Lunatic Rough Party!!,EXHAUST,15,EXCESSIVE COMPLETE,AAA,9755700,11,8,0,0
超越してしまった彼女と其を生み落した理由,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9714363,17,6,0,0
超越してしまった彼女と其を生み落した理由,HEAVENLY,18,COMPLETE,AA+,9577145,4,1,0,0
Bangin' Burst,NOVICE,6,COMPLETE,AA+,9697802,1,1,0,0
Bangin' Burst,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9831460,19,10,0,0
Bangin' Burst,GRAVITY,19,COMPLETE,AA+,9538862,13,7,0,0
For UltraPlayers,NOVICE,7,COMPLETE,AA+,9537572,2,2,0,0
For UltraPlayers,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9704412,16,10,0,0
For UltraPlayers,HEAVENLY,19,COMPLETE,AA+,9585483,10,1,0,0
BLACK or WHITE?,NOVICE,6,COMPLETE,AA,9378415,1,1,0,0
BLACK or WHITE?,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9724748,19,9,0,0
BLACK or WHITE?,GRAVITY,19,EXCESSIVE COMPLETE,AA+,9610887,19,11,0,0
Hellfire,NOVICE,6,COMPLETE,A+,9210084,1,1,0,0
Hellfire,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9832917,18,11,0,0
Hellfire,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9714518,7,7,0,0
Last Concerto,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9785276,20,10,0,0
Last Concerto,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9705739,4,3,0,0
Stella Sinistra,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9806904,10,5,0,0
HYENA,ADVANCED,12,COMPLETE,A+,9046532,1,1,0,0
HYENA,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9873971,25,6,0,0
PUNISHER,EXHAUST,16,EXCESSIVE COMPLETE,S,9955214,10,7,0,0
マインド・ゲーム,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9831932,1,1,0,0
Erlung,EXHAUST,14,EXCESSIVE COMPLETE,S,9933214,5,2,0,0
Erlung,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9818013,5,5,0,0
choux à la crème,EXHAUST,16,EXCESSIVE COMPLETE,S,9903790,12,6,0,0
choux à la crème,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9865364,5,5,0,0
take a step forward,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9877027,3,3,0,0
take a step forward,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9846723,10,10,0,0
TrailBlazer,EXHAUST,13,ULTIMATE CHAIN,S,9984025,2,2,1,0
TrailBlazer,GRAVITY,16,ULTIMATE CHAIN,S,9970588,3,3,1,0
Last Battalion,EXHAUST,15,EXCESSIVE COMPLETE,S,9944099,9,4,0,0
Last Battalion,GRAVITY,17,EXCESSIVE COMPLETE,S,9918154,4,4,0,0
クノイチでも恋がしたい,EXHAUST,16,EXCESSIVE COMPLETE,S,9945836,13,11,0,0
shiningray,EXHAUST,13,EXCESSIVE COMPLETE,S,9956521,3,3,0,0
タイムマシン,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9858974,2,2,0,0
Decretum,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9815950,19,10,0,0
Dignity,ADVANCED,11,PLAYED,S,9938917,1,0,0,0
Dignity,EXHAUST,16,EXCESSIVE COMPLETE,S,9917245,11,6,0,0
ムーニャポヨポヨスッポコニャーゴ,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9785575,14,7,0,0
We Are The Scarlet (SDVX Edit),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9854809,3,3,0,0
True Blue,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9867081,9,8,0,0
Demetel,EXHAUST,12,PLAYED,AAA+,9893075,1,0,0,0
トラウィスカルパンテクートリ,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9773082,16,12,0,0
ゆうしゃのなつやすみ,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9608974,1,1,0,0
Electric "Sister" Bitch,EXHAUST,16,EXCESSIVE COMPLETE,S,9961020,10,8,0,0
やばいつよくてあたまいいあたいのうた,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9850380,4,2,0,0
- dirty rouge -,EXHAUST,15,EXCESSIVE COMPLETE,S,9903299,5,1,0,0
BUBBLE RAVER,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9851985,6,6,0,0
Paradoxy,EXHAUST,15,EXCESSIVE COMPLETE,S,9902597,6,4,0,0
Rings of Rainbow,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9886148,7,5,0,0
LEMON SUMMER,EXHAUST,15,EXCESSIVE COMPLETE,S,9930167,10,8,0,0
赤より紅い夢-Aya2g Tech Dance Remix-,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9818887,3,3,0,0
Indomitable Spirit,EXHAUST,13,COMPLETE,A,8795045,1,1,0,0
放課後ストライド,EXHAUST,16,EXCESSIVE COMPLETE,S,9919564,10,5,0,0
放課後ストライド,HEAVENLY,17,EXCESSIVE COMPLETE,S,9905485,2,2,0,0
マネマネサイコトロピック,EXHAUST,14,COMPLETE,AA+,9645641,2,1,0,0
夢の空、約束の場所,EXHAUST,11,COMPLETE,AA,9452554,1,1,0,0
ワヴル魔法図書館,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9877977,3,3,0,0
最終鬼畜妹フランドール・S,ADVANCED,12,COMPLETE,AA,9367697,1,1,0,0
最終鬼畜妹フランドール・S,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9889689,9,6,0,0
最終鬼畜妹フランドール・S,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9758198,11,5,0,0
Shiny Up!,ADVANCED,7,PLAYED,A+,9053177,1,0,0,0
Hail Storm,EXHAUST,12,COMPLETE,AA+,9501201,1,1,0,0
INFINITY OVERDRIVE,EXHAUST,15,EXCESSIVE COMPLETE,S,9947368,6,2,0,0
INFINITY OVERDRIVE,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9723294,6,4,0,0
Crack Traxxxx,EXHAUST,16,EXCESSIVE COMPLETE,S,9927772,18,8,0,0
Crack Traxxxx,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9687906,7,6,0,0
XROSS INFECTION,ADVANCED,13,COMPLETE,AA+,9636898,2,2,0,0
XROSS INFECTION,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9845647,23,15,0,0
XROSS INFECTION,GRAVITY,19,COMPLETE,AA+,9671910,20,12,0,0
Double Universe,EXHAUST,16,EXCESSIVE COMPLETE,S,9944735,13,9,0,0
Double Universe,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9856396,6,6,0,0
Dawn of Asia,EXHAUST,15,EXCESSIVE COMPLETE,S,9904761,3,3,0,0
Dawn of Asia,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9875000,6,6,0,0
8 -eight-,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9897146,2,2,0,0
Over the Starlit sky,EXHAUST,15,EXCESSIVE COMPLETE,S,9902755,2,2,0,0
snow storm -euphoria-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9750235,18,8,0,0
snow storm -euphoria-,GRAVITY,19,EXCESSIVE COMPLETE,AA+,9537383,16,7,0,0
曾根崎心中,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9869942,5,1,0,0
DEADLOCK XXX,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9837962,22,15,0,0
魔法少女達の百年祭(masty core remix),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9856065,2,2,0,0
ユクエシレズ,EXHAUST,13,ULTIMATE CHAIN,S,9951456,3,2,1,0
ありふれたせかいせいふく,EXHAUST,13,ULTIMATE CHAIN,S,9938900,2,2,1,0
ウサテイ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9803854,5,3,0,0
Quietus Ray,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9753141,25,5,0,0
Quietus Ray,HEAVENLY,19,COMPLETE,AA,9467320,5,1,0,0
VERSUS!!,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9865967,8,8,0,0
Booths of Fighters,EXHAUST,17,EXCESSIVE COMPLETE,S,9901039,29,5,0,0
Booths of Fighters,HEAVENLY,19,COMPLETE,AA,9432357,13,1,0,0
Playing With Fire,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9783362,1,1,0,0
愛くるしフール -Not EASY!!-,EXHAUST,15,EXCESSIVE COMPLETE,S,9915254,2,2,0,0
Lunartic Dial,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9840622,11,10,0,0
Voice 2 Voice,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9807864,7,6,0,0
Smile,EXHAUST,12,PLAYED,A,8828976,1,0,0,0
Daily Lunch Special ～DeliciousREMIX～,NOVICE,5,COMPLETE,AA+,9686609,1,1,0,0
Daily Lunch Special ～DeliciousREMIX～,ADVANCED,10,COMPLETE,AA,9336075,2,2,0,0
Daily Lunch Special ～DeliciousREMIX～,EXHAUST,15,ULTIMATE CHAIN,S,9943904,12,11,1,0
デストロイマーチ,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9838235,10,10,0,0
Unicorn tail Dustboxxxx RMX,EXHAUST,16,EXCESSIVE COMPLETE,S,9952725,18,11,0,0
Unicorn tail Dustboxxxx RMX,VIVID,18,EXCESSIVE COMPLETE,AAA+,9808131,2,2,0,0
Venona,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9831081,2,2,0,0
Cirno Break,EXHAUST,16,EXCESSIVE COMPLETE,S,9931153,4,4,0,0
#Fairy_dancing_in_lake,EXHAUST,16,EXCESSIVE COMPLETE,S,9941820,11,9,0,0
モモンが門番ばんっ☆,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9837721,2,2,0,0
U.N.オーエンは彼女なのか？(TO-HOlic mix),EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9860970,7,6,0,0
音楽 -resolve-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9797794,14,6,0,0
音楽 -resolve-,VIVID,19,EXCESSIVE COMPLETE,AAA,9705215,3,3,0,0
少年は空を辿る Prog Piano Remix,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9862313,6,6,0,0
少年は空を辿る Prog Piano Remix,GRAVITY,17,COMPLETE,A+,9280510,1,1,0,0
獣性オーバーフロウ,EXHAUST,15,EXCESSIVE COMPLETE,S,9923245,1,1,0,0
HAPPY HEART BEAT,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9532398,3,2,0,0
華陽炎-Hana Kagerou-,EXHAUST,14,COMPLETE,S,9916930,3,1,0,0
BabeL ～Next Story～,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9691289,1,1,0,0
いーあるふぁんくらぶ,ADVANCED,7,PLAYED,AA,9449300,1,0,0,0
いーあるふぁんくらぶ,EXHAUST,13,COMPLETE,AA,9380165,1,1,0,0
え？あぁ、そう。,EXHAUST,12,COMPLETE,AA+,9594137,1,1,0,0
OVERDRIVERS,ADVANCED,10,COMPLETE,A+,9028436,2,2,0,0
OVERDRIVERS,EXHAUST,14,ULTIMATE CHAIN,S,9980754,11,9,2,0
GEROL,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9883466,7,4,0,0
Sakura Reflection 音頭 -盆踊Remix-,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9834791,3,3,0,0
Survival Games (Hommarju Remix),EXHAUST,13,COMPLETE,A,8979848,1,1,0,0
Joyeuse,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9713709,17,9,0,0
Joyeuse,VIVID,18,COMPLETE,A+,9155597,1,1,0,0
つぶやき魔法少女りむる,ADVANCED,10,PLAYED,AAA+,9868721,1,0,0,0
つぶやき魔法少女りむる,EXHAUST,16,EXCESSIVE COMPLETE,S,9944326,8,6,0,0
トリノコシティ,ADVANCED,7,COMPLETE,AA,9422442,1,1,0,0
トリノコシティ,EXHAUST,12,COMPLETE,A+,9089958,1,1,0,0
ネトゲ廃人シュプレヒコール,EXHAUST,14,COMPLETE,AA,9320889,1,1,0,0
HAELEQUIN,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9844559,17,11,0,0
迷妄少年と小世界,EXHAUST,13,COMPLETE,AA,9453345,1,1,0,0
悪いところがひとつもない！,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9806964,1,1,0,0
アルストロメリア KURO-HACO Remix,ADVANCED,10,COMPLETE,A+,9068807,1,1,0,0
アルストロメリア KURO-HACO Remix,EXHAUST,15,EXCESSIVE COMPLETE,S,9947874,8,6,0,0
C18H27NO3,EXHAUST,16,EXCESSIVE COMPLETE,S,9957939,16,12,0,0
C18H27NO3,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9708502,1,1,0,0
隅田川夏恋歌 (I/O Angel mix),ADVANCED,8,COMPLETE,AA+,9508928,1,1,0,0
隅田川夏恋歌 (I/O Angel mix),EXHAUST,12,COMPLETE,AAA+,9874784,4,3,0,0
ラクガキスト,EXHAUST,16,EXCESSIVE COMPLETE,S,9903397,12,8,0,0
Lieselotte,EXHAUST,15,EXCESSIVE COMPLETE,S,9913185,2,2,0,0
ロストワンの号哭,ADVANCED,8,COMPLETE,A+,9216944,1,1,0,0
ロストワンの号哭,EXHAUST,13,EXCESSIVE COMPLETE,AAA,9725400,2,2,0,0
ロストワンの号哭,GRAVITY,16,EXCESSIVE COMPLETE,S,9922311,5,5,0,0
I'm so Happy,ADVANCED,9,COMPLETE,A+,9283646,2,2,0,0
I'm so Happy,EXHAUST,16,EXCESSIVE COMPLETE,S,9924242,14,12,0,0
VALLIS-NERIA,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9706109,14,6,0,0
En FIRE-G SOUL,EXHAUST,13,COMPLETE,S,9955237,3,1,0,0
音楽 -壊音楽 mix-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9883040,11,10,0,0
こちら、幸福安心委員会です。,EXHAUST,15,EXCESSIVE COMPLETE,S,9945533,4,2,0,0
こちら、幸福安心委員会です。,VIVID,18,EXCESSIVE COMPLETE,AA+,9683927,1,1,0,0
サリシノハラ,EXHAUST,12,COMPLETE,A+,9027777,1,1,0,0
Party Stream !!,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9883021,9,4,0,0
ませまてぃっく♥ま+ま=まじっく！,EXHAUST,15,EXCESSIVE COMPLETE,S,9926419,13,10,0,0
Antinomie (SDVX EDIT),EXHAUST,13,COMPLETE,AA,9484072,1,1,0,0
Qubism,EXHAUST,16,EXCESSIVE COMPLETE,S,9906906,8,7,0,0
Qubism,HEAVENLY,18,COMPLETE,AA+,9566696,1,1,0,0
Keep Going!,EXHAUST,13,COMPLETE,AAA+,9862385,2,1,0,0
天狗の落とし文 feat. ｙｔｒ,EXHAUST,13,COMPLETE,AAA,9779364,1,1,0,0
Power of Battle (SDVX EDIT),EXHAUST,13,COMPLETE,AA,9406055,1,1,0,0
Fly to Next World (syzfonics Remix),EXHAUST,12,COMPLETE,AA,9432132,1,1,0,0
魔境堕天録サリエル,EXHAUST,14,EXCESSIVE COMPLETE,S,9956647,4,2,0,0
魔境堕天録サリエル,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9590021,3,3,0,0
アノ華咲クヤ,EXHAUST,14,PLAYED,S,9956349,1,0,0,0
UNLIMITED FIRE (DJ Amane Remix),EXHAUST,13,PLAYED,AAA+,9874798,1,0,0,0
Vindicator,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9857278,4,4,0,0
Goodbye-bye Planet,EXHAUST,14,EXCESSIVE COMPLETE,S,9936753,5,3,0,0
げきオコスティックファイナリアリティぷんぷんマスタースパーク,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9894014,2,2,0,0
concon (picom'n'bass rmx),EXHAUST,13,EXCESSIVE COMPLETE,S,9948761,3,2,0,0
Sakura Reflection (P*Light Slayer Remix),ADVANCED,11,COMPLETE,A+,9056701,1,1,0,0
Sakura Reflection (P*Light Slayer Remix),EXHAUST,15,EXCESSIVE COMPLETE,S,9937223,5,5,0,0
Sakura Reflection (P*Light Slayer Remix),VIVID,18,EXCESSIVE COMPLETE,AAA,9778147,3,3,0,0
She is my wife すーぱーアイドル☆ミツル子Remixちゃん,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9861419,7,4,0,0
十面相（フリーダムver.）,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9776182,2,2,0,0
SCAPEGOAT BOY - SDVX Edit. -,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9793721,3,2,0,0
Starlight Express,NOVICE,4,COMPLETE,A+,9112021,1,1,0,0
Starlight Express,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9860279,9,6,0,0
青春☆してるかい？READY&LADY!,EXHAUST,13,COMPLETE,A,8991150,1,1,0,0
星霜輪廻～Repeat～,EXHAUST,13,COMPLETE,A+,9253731,1,1,0,0
蒼空に舞え、墨染の桜,ADVANCED,6,PLAYED,A,8855498,1,0,0,0
Daily Lunch Special (tpz Overcute Remix),EXHAUST,13,EXCESSIVE COMPLETE,S,9925650,7,4,0,0
トーキョープレジャーグラウンド,EXHAUST,13,COMPLETE,AA,9355948,1,1,0,0
東方妖々夢 ～the maximum moving about～,EXHAUST,13,COMPLETE,AA+,9593373,1,1,0,0
Next infection,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9855633,4,3,0,0
