楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),EXHAUST,16,EXCESSIVE COMPLETE,S,9931009,7,7,0,0
ほおずき程度には赤い頭髪,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9826154,15,8,0,0
Scarlet Moon,EXHAUST,16,EXCESSIVE COMPLETE,S,9906666,7,6,0,0
Struggle,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9816373,5,3,0,0
取り残された美術(Arranged:HiZuMi),EXHAUST,13,COMPLETE,AA+,9626024,1,1,0,0
NEON WORLD,ADVANCED,10,COMPLETE,S,9971482,1,1,0,0
NEON WORLD,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9814906,9,8,0,0
HAVOX,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9802350,8,4,0,0
BEAT-NEW-WORLD,ADVANCED,11,COMPLETE,AA,9405144,1,1,0,0
BEAT-NEW-WORLD,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9859632,9,8,0,0
プレインエイジア -PHQ remix-,EXHAUST,16,EXCESSIVE COMPLETE,S,9925512,8,8,0,0
ホメ猫☆センセーション,ADVANCED,9,COMPLETE,AA,9415367,3,3,0,0
ホメ猫☆センセーション,EXHAUST,16,EXCESSIVE COMPLETE,S,9917055,11,8,0,0
Russian Caravan Rhapsody,EXHAUST,15,EXCESSIVE COMPLETE,S,9959168,2,2,0,0
朝色の紙飛行機,EXHAUST,15,ULTIMATE CHAIN,S,9952991,4,2,1,0
AYAKASHI,ADVANCED,12,COMPLETE,AAA+,9833679,1,1,0,0
AYAKASHI,EXHAUST,17,EXCESSIVE COMPLETE,S,9903172,14,6,0,0
女言葉の消失,EXHAUST,13,COMPLETE,A+,9112903,1,1,0,0
Poison Blood,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9860579,2,2,0,0
M.A.Y.U.,EXHAUST,16,EXCESSIVE COMPLETE,S,9904240,1,1,0,0
Everlasting Message,ADVANCED,13,EXCESSIVE COMPLETE,AA+,9661579,1,1,0,0
Everlasting Message,EXHAUST,17,EXCESSIVE COMPLETE,S,9909609,22,19,0,0
Everlasting Message,GRAVITY,19,EXCESSIVE COMPLETE,AAA,9705773,20,14,0,0
混乱少女♥そふらんちゃん!!,EXHAUST,18,COMPLETE,AA,9437652,17,8,0,0
Sayonara Planet Wars,EXHAUST,18,COMPLETE,AA+,9518763,33,19,0,0
Chant du Cygne,NOVICE,6,COMPLETE,S,9938063,1,1,0,0
Chant du Cygne,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9723384,7,3,0,0
到達してしまった僕らと夢と希望の最之果,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9814719,14,8,0,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,ADVANCED,12,COMPLETE,AAA,9737149,1,1,0,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9850427,13,5,0,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9773182,15,5,0,0
